,Period,R2 train,R2 test
0,crisis,0.9601189071316597,0.37933477637202395
1,pre-crisis,0.8987345373371659,0.2159759645409518
2,post-crisis,0.8777898982755449,0.35169800084683367
3,complete,0.831022192964167,0.33444718174616594
