,Period,R2 train,R2 test
0,crisis,0.9994943718326403,-4.357149209385566
1,pre-crisis,0.3345833611440081,-4.484648732590856
2,post-crisis,0.3907524949827751,-0.07592967805099615
3,complete,0.3236772123321533,-29.918146199976537
